.Alaska,AK,738432
.Alabama,AL,4858979
.Arkansas,AR,2978204
.Arizona,AZ,6828065
.California,CA,39144818
.Colorado,CO,5456574
.Connecticut,CT,3590886
.District of Columbia,DC,672228
.Delaware,DE,945934
.Florida,FL,20271272
.Georgia,GA,10214860
.Hawaii,HI,1431603
.Iowa,IA,3123899
.Idaho,ID,1654930
.Illinois,IL,12859995
.Indiana,IN,6619680
.Kansas,KS,2911641
.Kentucky,KY,4425092
.Louisiana,LA,4670724
.Massachusetts,MA,6794422
.Maryland,MD,6006401
.Maine,ME,1329328
.Michigan,MI,9922576
.Minnesota,MN,5489594
.Missouri,MO,6083672
.Mississippi,MS,2992333
.Montana,MT,1032949
.North Carolina,NC,10042802
.North Dakota,ND,756927
.Nebraska,NE,1896190
.New Hampshire,NH,1330608
.New Jersey,NJ,8958013
.New Mexico,NM,2085109
.Nevada,NV,2890845
.New York,NY,19795791
.Ohio,OH,11613423
.Oklahoma,OK,3911338
.Oregon,OR,4028977
.Pennsylvania,PA,12802503
.Rhode Island,RI,1056298
.South Carolina,SC,4896146
.South Dakota,SD,858469
.Tennessee,TN,6600299
.Texas,TX,27469114
.Utah,UT,2995919
.Virginia,VA,8382993
.Vermont,VT,626042
.Washington,WA,7170351
.Wisconsin,WI,5771337
.West Virginia,WV,1844128
.Wyoming,WY,586107
